"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05014","hsa05014","Amyotrophic lateral sclerosis",309,0.84045298886616,1.39709934184843,4.98390070522851e-05,0.0174934914753521,0.0147943157776257,1040,"tags=23%, list=7%, signal=22%","60/10376/1345/6647/5216/4725/7388/1347/4710/4694/3181/84617/9972/5687/7846/4723/4718/23435/10213/144983/5686/1340/4708/5701/4715/5217/5684/4709/7381/5709/4700/2876/1350/4707/57122/5713/27089/468/4726/71/79139/5682/10133/5879/5695/5700/5685/203068/4706/5688/84790/5690/9821/310/1349/7175/4686/1965/129401/5692/5683/9217/1329/10762/4702/7386/4717/54539/4722/1351/9688"
"hsa04145","hsa04145","Phagosome",121,0.898152806654833,1.45359218161368,0.000119026100627647,0.020889080660152,0.0176659791457876,736,"tags=21%, list=5%, signal=20%","60/10376/23480/527/3689/84617/3916/7846/245973/9554/537/3688/811/71/9296/6890/8992/5879/7037/203068/84790/9114/715/9341/533"
