"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"S100A13",5663.38461538461,20195.8139534884,2.02168042233513,0.0496697007158705,0.167222454728559,-4.15077333595081
"CTSF",-1321.39743589744,3127.32558139535,-2.02154522092617,0.0496842695158324,0.167242992784758,-4.15085352505396
"MYO5A",92.3287179487179,246.9,2.0211278015218,0.049729272509279,0.167365951394981,-4.15110107640333
"DSCC1",158.915205128205,170.299534883721,2.02053629880322,0.049793104505649,0.16755222710548,-4.15145180700666
"GALNT11",9.73117948717948,16.5753488372093,2.0204442816321,0.0498030409322227,0.167557113351016,-4.15150636199417
"LOC100131176",-43.3811282051282,42.0725581395349,-2.02029198853059,0.0498194900094795,0.167583905330814,-4.15159664945965
"C5orf23",420.445641025641,332.061860465116,2.01991247493843,0.0498605015627834,0.167692498697304,-4.15182162463995
"RPS29",975.999999999999,2740.93023255814,2.01983613078747,0.0498687551192094,0.167692498697304,-4.15186687778696
"LTV1",241.617948717949,766.186046511628,2.01974577020654,0.0498785255240525,0.167696799553032,-4.15192043765543
"WNT7B",17.2258205128205,21.3618604651163,2.01963549646584,0.0498904513294322,0.167708344392333,-4.15198579847866
"GNG8",9.91307692307694,50.093023255814,2.0188838749929,0.0499718031582469,0.167930378411924,-4.15243122880643
"TMEM141",900.66923076923,1733.60465116279,2.01878582443752,0.0499824241632892,0.167930378411924,-4.15248932755241
"HAS2",10.2601282051282,12.3097674418605,2.01864301855994,0.0499978966500172,0.167930378411924,-4.15257394202723
"KIAA1659",3.27253846153846,6.52162790697674,2.01864206759193,0.0499979996978163,0.167930378411924,-4.15257450547502
"C5orf37",-32.0107692307693,69.4976744186046,-2.0186326616847,0.0499990189408128,0.167930378411924,-4.15258007845749
"MUT",163.882051282051,565.720930232558,2.01767715284312,0.0501026538961259,0.168182004625839,-4.15314612100588
"MGC4771",-5.80525641025641,19.1667441860465,-2.01765242072685,0.0501053388290321,0.168182004625839,-4.15316076979913
"PODXL2",3.16376923076923,6.56651162790698,2.0176449459649,0.0501061503181245,0.168182004625839,-4.15316519706406
"DIO2",-161.292615384615,94.5348837209302,-2.01762789779939,0.0501080011756765,0.168182004625839,-4.15317529456613
"TM4SF1",265.864871794872,500.725581395349,2.01642403771094,0.0502388501523062,0.168592532142378,-4.1538881809872
"AFTPH",26.2174358974359,90.4604651162791,2.01579107901358,0.050307766138741,0.168795119516479,-4.1542628788755
"LOC440792",-11.8582051282051,12.4983720930233,-2.01568691183396,0.0503191156335192,0.168804520918358,-4.15432453570457
"MLX",20.1808461538461,43.3458139534884,2.0152834482431,0.0503630958404336,0.168923366126482,-4.15456332581287
"RASGRF1",7.42671794871795,12.4660465116279,2.0150579206127,0.0503876943891117,0.168977173797006,-4.15469678985566
"GPR84",4.48194871794871,7.23232558139535,2.0147554999941,0.0504206961155835,0.169041653407189,-4.15487574165384
"AARS",36.2490256410256,62.6823255813953,2.01472486034264,0.0504240407221506,0.169041653407189,-4.15489387105028
"UCHL1",589.639076923077,428.463023255814,2.01454852812271,0.0504432927897412,0.169077493093109,-4.15499820257953
"PAFAH1B3",-5.89038461538462,22.2058139534884,-2.01444518103115,0.0504545792593638,0.169086625792156,-4.15505934759201
"ARMC1",80.1133333333336,227.393023255814,2.01394541031791,0.0505091898437961,0.16924092131407,-4.15535500449908
"LOC100128974",9.85292307692307,24.4972093023256,2.01377200836298,0.0505281496855174,0.169275729964255,-4.15545757450009
"AK2",685.858974358974,1420.81395348837,2.01345554072872,0.0505627683176445,0.169362976849586,-4.15564475415936
"DYX1C1",-22.459358974359,59.9383720930233,-2.01330509773204,0.0505792326100302,0.169389395424027,-4.15573372875784
"DRD4",-5.65464102564103,22.5472093023256,-2.01312930945093,0.0505984765548481,0.169425112492658,-4.15583768709368
"ATP5A1",582.607692307691,1464.16279069767,2.01250546756089,0.0506668212660067,0.169588866199458,-4.15620656569862
"GSR",19.5087179487179,42.4353488372093,2.01245509196164,0.0506723436368056,0.169588866199458,-4.15623634936522
"FAM53C",-136.812820512821,611.395348837209,-2.01244780125686,0.0506731429157427,0.169588866199458,-4.15624065981993
"OXSR1",103.077179487179,300.660465116279,2.01200343713143,0.0507218791578724,0.169723211028265,-4.15650335880208
"LYSMD1",45.1841025641024,126.793023255814,2.011906566258,0.0507325090032482,0.169730022074394,-4.15656062148031
