"","Gene","AUC"
"1","ACTB",0.930769230769231
"2","TMEFF2",0.776923076923077
"3","TUBA1B",0.974358974358974
"4","HSPE1",0.956410256410256
"5","COX6C",0.923076923076923
"6","STMN1",0.969230769230769
"7","SHFM1",0.96025641025641
"8","ATP5H",0.914102564102564
"9","SDF2L1",0.864102564102564
"10","ENY2",0.935897435897436
