"Hub_Genes"
"GAPDH"
"ACTB"
"CDC2"
"HSP90AA1"
"UBA52"
"UBC"
"CCNB1"
"PLK1"
"CCNA2"
"HSPA4"
"HDAC1"
"RAD51"
"TOP2A"
"CDC6"
"HIST1H4F"
"CHEK1"
"AURKA"
"HSPA8"
"MAD2L1"
"BUB1"
