"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001101","GO:0001101","response to acid chemical","32/2489","144/18860",0.222222222222222,1.68385339940181,3.21197319446904,0.001916268339158,0.0322669696663235,0.0281386067805404,"3297/4915/1036/1072/1051/1788/3182/5243/2693/5111/445/9978/7846/9131/5156/7422/8140/64506/1965/64121/7494/80310/836/5311/22849/1282/1277/1291/1278/3184/10365/598",32
"GO:1904950","GO:1904950","negative regulation of establishment of protein localization","32/2489","144/18860",0.222222222222222,1.68385339940181,3.21197319446904,0.001916268339158,0.0322669696663235,0.0281386067805404,"6672/4345/3667/7295/580/6833/4137/285381/347/10391/2693/56943/5781/415116/1113/7529/3753/29934/79651/8620/3418/3301/2308/9538/1445/150/7341/127018/10961/6720/1595/51715",32
"GO:0006839","GO:0006839","mitochondrial transport","24/2489","99/18860",0.242424242424242,1.83693098116561,3.25546795364281,0.00201327653661602,0.0338062685106773,0.0294809616823772,"292/596/28982/578/23788/94097/3320/293/2932/28978/3099/81034/7416/55737/2931/10651/10165/203245/282991/1291/7417/119559/23456/598",24
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","36/2489","168/18860",0.214285714285714,1.6237157779946,3.16626791029358,0.00204324134852118,0.0342143876781455,0.029836864479936,"22974/3192/5310/3925/85458/81930/4137/10615/55605/5347/22919/79643/9793/10460/2932/1213/10297/23636/89795/27124/57606/23332/1104/81624/2931/84722/1778/5515/128866/7175/26586/26054/25978/57132/80321/79998",36
"GO:0030705","GO:0030705","cytoskeleton-dependent intracellular transport","43/2489","210/18860",0.204761904761905,1.55155063230596,3.13393359829718,0.0020569469601139,0.0342431457137151,0.0298619430994358,"667/10376/84790/3800/55614/8655/203068/167691/5813/3192/5874/6647/4137/55605/79443/27152/63971/117178/5870/7846/51626/6421/127829/144165/7275/3799/9001/57576/6780/1778/24137/3315/8100/1176/282991/4976/3091/55207/23287/79809/998/3916/5604",43
"GO:0045862","GO:0045862","positive regulation of proteolysis","43/2489","210/18860",0.204761904761905,1.55155063230596,3.13393359829718,0.0020569469601139,0.0342431457137151,0.0298619430994358,"79016/5701/90865/1072/841/3818/6613/578/5347/3066/6790/2932/9978/6281/84900/10134/5700/2023/5716/144165/101/7494/83874/7415/79699/9817/2931/1452/8975/150/7341/4323/8772/11236/152503/991/6449/5706/23287/7041/29979/4627/5728",43
"GO:0006301","GO:0006301","postreplication repair","12/2489","37/18860",0.324324324324324,2.45751577209994,3.46022132468099,0.00206761756584053,0.0342431457137151,0.0298619430994358,"7336/51514/5111/4436/7319/10459/7398/10721/51426/7415/7335/5429",12
"GO:0046825","GO:0046825","regulation of protein export from nucleus","12/2489","37/18860",0.324324324324324,2.45751577209994,3.46022132468099,0.00206761756584053,0.0342431457137151,0.0298619430994358,"6672/7295/5587/580/127933/5781/2932/1029/10541/2810/7514/7175",12
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process","39/2489","186/18860",0.209677419354839,1.588797159113,3.14657200975866,0.00207583118133677,0.0342852445114229,0.029898655611546,"6120/5230/9563/23498/3939/2821/7167/3692/6888/2597/23788/5223/79751/5901/3099/9540/2023/2819/22934/3418/26137/32/29968/51071/7415/5515/51422/10165/48/23530/160428/7086/3091/1291/8566/2805/249/3607/54541",39
"GO:0045116","GO:0045116","protein neddylation","10/2489","28/18860",0.357142857142857,2.70619296332434,3.52284158057708,0.0021456041679557,0.0353410822760006,0.030819405343818,"140739/8533/9978/1029/84259/10987/9616/9039/4738/3091",10
"GO:0071168","GO:0071168","protein localization to chromatin","17/2489","62/18860",0.274193548387097,2.07765782345546,3.31401967559152,0.00219430508305329,0.0359595345140939,0.0313587303724839,"100129583/2099/2146/7443/142/5347/1058/5885/221496/10038/5591/25842/7415/157570/80124/84515/55656",17
"GO:2000779","GO:2000779","regulation of double-strand break repair","33/2489","151/18860",0.218543046357616,1.65597503186205,3.15561978091051,0.00219504850880077,0.0359595345140939,0.0313587303724839,"60/3297/5888/7336/10635/8914/1111/63979/142/10097/5347/86/10459/545/6597/6502/10721/5977/5591/9643/1387/6944/2271/8089/708/29117/2521/151987/7913/6601/64110/11284/55183",33
"GO:0021537","GO:0021537","telencephalon development","56/2489","291/18860",0.192439862542955,1.45818232525518,3.0713177001165,0.00220127220881998,0.03596402838464,0.0313626492795746,"2066/27086/7280/4915/2737/259266/1072/2146/7143/7804/85458/130574/51377/339829/3251/9928/6513/583/146760/85358/2618/10460/5901/2932/27089/7846/5194/347733/1399/4009/23380/3398/9616/7248/7545/6387/8087/836/5080/55122/150726/4192/471/23603/2353/81853/6547/3091/477/2145/1767/23287/55118/3624/3065/5728",56
"GO:0010720","GO:0010720","positive regulation of cell development","81/2489","451/18860",0.17960088691796,1.36089703787574,3.02475820806474,0.00222026624531917,0.0361765753448905,0.0315480021465694,"1524/1869/60/3297/4311/4915/2737/50848/8744/9037/84630/1960/259266/2547/841/7804/2625/596/6009/3574/3815/3984/4137/5243/3066/6790/4076/6498/85358/86/865/3594/7704/7516/5764/6659/5584/7422/6597/8140/26039/3398/101/118738/9001/3845/5591/9294/8111/170506/7494/6387/8087/4036/5080/4192/7779/23603/2353/7048/4323/29117/8772/8600/9092/6777/2335/4976/6376/6601/3091/3707/8767/301/5457/259307/1627/7852/3065/5604/6664",81
"GO:0046545","GO:0046545","development of primary female sexual characteristics","26/2489","111/18860",0.234234234234234,1.77487250207218,3.19254375767884,0.00226201662593263,0.0367577701714053,0.0320548366232899,"2099/2189/1051/6647/596/3815/64478/4327/5241/2175/1602/5156/10286/7422/2178/6874/57122/836/4323/6422/6777/174/117/56729/3624/598",26
"GO:0051338","GO:0051338","regulation of transferase activity","58/2489","304/18860",0.190789473684211,1.44567676724958,3.05456083816026,0.00227771391539587,0.0369136209613084,0.0321907472507479,"11065/22974/2246/3192/63967/64061/2547/4085/2146/1033/1894/1062/152110/990/5111/9928/63922/5933/5347/641/94056/171024/5984/79643/8815/4485/5478/7532/9088/10459/2932/5912/993/1029/9077/23531/5292/5716/11235/5770/3301/26271/900/5985/2810/9134/3084/2931/23603/7251/9052/8812/8543/11140/103/991/84619/5604",58
"GO:0097237","GO:0097237","cellular response to toxic substance","30/2489","134/18860",0.223880597014925,1.6964194695466,3.15453222290963,0.00231146091420284,0.037360377610578,0.0325803440988681,"2946/10549/2944/7295/3040/6647/4259/84817/538/9588/5243/5052/5292/2877/7296/2880/1012/9429/4056/3043/3039/119391/10327/4985/23530/3029/2876/4257/140809/25841",30
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","66/2489","355/18860",0.185915492957746,1.40874495668264,3.03149051164072,0.00232407041180092,0.0373643767003632,0.0325838315293925,"3297/5888/4311/50848/3673/2547/841/1894/6339/10635/580/2625/1111/55872/5608/1642/5243/63979/5111/142/5781/578/641/94233/23788/811/6513/9978/11200/6332/4214/5295/2778/545/1965/64710/27113/9538/51426/8111/170506/1387/85456/51499/836/1936/8451/5810/404672/5311/6422/8772/25896/5269/476/7132/5796/85453/1277/477/10269/7528/2805/5728/5429/598",66
"GO:0104004","GO:0104004","cellular response to environmental stimulus","66/2489","355/18860",0.185915492957746,1.40874495668264,3.03149051164072,0.00232407041180092,0.0373643767003632,0.0325838315293925,"3297/5888/4311/50848/3673/2547/841/1894/6339/10635/580/2625/1111/55872/5608/1642/5243/63979/5111/142/5781/578/641/94233/23788/811/6513/9978/11200/6332/4214/5295/2778/545/1965/64710/27113/9538/51426/8111/170506/1387/85456/51499/836/1936/8451/5810/404672/5311/6422/8772/25896/5269/476/7132/5796/85453/1277/477/10269/7528/2805/5728/5429/598",66
"GO:0001666","GO:0001666","response to hypoxia","60/2489","317/18860",0.189274447949527,1.4341969016987,3.03990860271441,0.00234475051279708,0.0375968616707119,0.0327865714591311,"8614/1869/891/3297/5230/3673/5327/890/79723/1788/596/5243/5034/18/3778/5352/6513/7184/4841/9131/6839/3099/2023/1137/5885/10397/4842/5770/7422/3764/3708/64506/27113/101/26355/5163/7037/6387/1387/836/2353/114990/4323/4985/6422/6547/7019/3654/3091/3624/5467/4000/51142/7852/26608/29979/5604/4017/54541/4929",60
"GO:0007056","GO:0007056","spindle assembly involved in female meiosis","6/2489","12/18860",0.5,3.78867014865408,3.7678127254043,0.00237909493927489,0.0377470575010938,0.0329175506448091,"1642/9133/6790/10403/26271/5728",6
"GO:0045040","GO:0045040","protein insertion into mitochondrial outer membrane","6/2489","12/18860",0.5,3.78867014865408,3.7678127254043,0.00237909493927489,0.0377470575010938,0.0329175506448091,"56993/401505/23788/25813/100188893/10651",6
"GO:0090394","GO:0090394","negative regulation of excitatory postsynaptic potential","6/2489","12/18860",0.5,3.78867014865408,3.7678127254043,0.00237909493927489,0.0377470575010938,0.0329175506448091,"9775/84866/4887/57502/9294/5728",6
"GO:1900152","GO:1900152","negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","6/2489","12/18860",0.5,3.78867014865408,3.7678127254043,0.00237909493927489,0.0377470575010938,0.0329175506448091,"3192/1660/26986/4904/10492/3184",6
"GO:0006360","GO:0006360","transcription by RNA polymerase I","19/2489","73/18860",0.26027397260274,1.97218446094322,3.24500643128361,0.00240658849748905,0.038083317977281,0.0332107886344039,"5440/54700/9031/5435/55646/23160/6597/9191/25926/1387/84128/404672/7913/64768/64431/10269/9188/4691/8467",19
"GO:0035751","GO:0035751","regulation of lysosomal lumen pH","11/2489","33/18860",0.333333333333333,2.52578009910272,3.42052311009522,0.00246058277332871,0.0387482989859357,0.0337906893599,"10159/203547/55858/533/252839/84286/527/9296/523/3916/537",11
"GO:0034620","GO:0034620","cellular response to unfolded protein","25/2489","106/18860",0.235849056603774,1.78710856068589,3.16865376514702,0.00246143040704703,0.0387482989859357,0.0337906893599,"8614/3297/3329/10959/1388/578/135138/5295/79139/55161/5770/10987/1965/27113/9616/7494/7415/4690/80267/1649/55210/84899/9217/26608/23456",25
"GO:0019318","GO:0019318","hexose metabolic process","49/2489","249/18860",0.196787148594378,1.49112319103654,3.04186149517486,0.00251198490062875,0.0394414252579242,0.0343951343331478,"8864/5166/283871/5230/9563/2908/3667/7355/5160/2683/3939/2821/388962/7167/7874/1642/2597/2519/347/9852/5223/6097/4485/51094/55276/11091/8445/3099/57818/2023/2819/2171/2308/32/5163/3487/3953/2931/10580/51422/10165/25948/2529/10269/51171/5467/79411/2805/3607",49
"GO:0098930","GO:0098930","axonal transport","18/2489","68/18860",0.264705882352941,2.00576654928745,3.23965912299411,0.00253107943573692,0.0396382776917868,0.0345668006931293,"667/3800/5874/6647/4137/55605/127829/3799/9001/1778/24137/3315/1176/282991/4976/3091/55207/23287",18
"GO:0014819","GO:0014819","regulation of skeletal muscle contraction","8/2489","20/18860",0.4,3.03093611892326,3.54327602968433,0.00261872825802151,0.0406694294914518,0.0354660228798382,"1756/2946/5587/2778/2280/6329/844/6547",8
"GO:0060749","GO:0060749","mammary gland alveolus development","8/2489","20/18860",0.4,3.03093611892326,3.54327602968433,0.00261872825802151,0.0406694294914518,0.0354660228798382,"2066/2099/3202/7422/3398/8600/3091/11331",8
"GO:0061377","GO:0061377","mammary gland lobule development","8/2489","20/18860",0.4,3.03093611892326,3.54327602968433,0.00261872825802151,0.0406694294914518,0.0354660228798382,"2066/2099/3202/7422/3398/8600/3091/11331",8
"GO:0009263","GO:0009263","deoxyribonucleotide biosynthetic process","7/2489","16/18860",0.4375,3.31508638007232,3.61222519794105,0.00265821565296814,0.0406694294914518,0.0354660228798382,"26289/6241/2987/7298/6240/9519/1633",7
"GO:0009265","GO:0009265","2'-deoxyribonucleotide biosynthetic process","7/2489","16/18860",0.4375,3.31508638007232,3.61222519794105,0.00265821565296814,0.0406694294914518,0.0354660228798382,"26289/6241/2987/7298/6240/9519/1633",7
"GO:0030174","GO:0030174","regulation of DNA-templated DNA replication initiation","7/2489","16/18860",0.4375,3.31508638007232,3.61222519794105,0.00265821565296814,0.0406694294914518,0.0354660228798382,"4171/4172/4173/4176/4175/4174/81620",7
