"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006260","GO:0006260","DNA replication","105/2489","290/18860",0.362068965517241,2.74351976281847,11.6668629392035,1.22855265625337e-23,7.42660080705165e-20,6.47641231843884e-20,"898/8655/23560/5888/9837/5813/3060/4171/4172/64061/890/4173/9401/6418/4176/1877/80010/11169/580/84897/8914/1111/374393/58525/2237/51377/990/54108/55388/10535/5558/51514/8317/8099/5111/142/1660/63922/641/9156/4175/5984/86/54962/6240/29980/6596/7083/51008/6119/993/79733/10036/1602/4678/11124/56655/545/5931/23649/27000/26271/5985/57695/29844/64710/10721/5422/8208/9134/51426/55159/5591/25842/6282/1763/51659/150/91607/222229/157570/11177/5557/10361/27101/84515/348654/146956/9126/5428/10269/93973/144455/7528/5965/64785/11284/4174/80198/23244/8467/5429/10293/25939/81620",105
"GO:0007059","GO:0007059","chromosome segregation","136/2489","434/18860",0.313364055299539,2.3744660839491,11.2952938425208,2.57087122246849e-23,7.770458269911e-20,6.77627530638009e-20,"51203/11065/898/22974/891/7272/11339/29127/701/60/699/10051/11004/203068/64151/64105/3192/6732/1063/11130/259266/292/2908/3832/56992/4085/9055/81610/55355/1894/1062/55143/7153/29901/332/81930/79980/990/9319/57405/79677/1642/10615/83540/54892/51433/9928/146909/401541/9133/10097/5347/22919/51529/6790/10744/79643/2491/147841/3796/29128/4751/10096/86/9493/3833/10459/10460/23421/5901/11200/4342/9031/9232/5885/23636/127829/23397/144165/10286/9391/10403/29945/26271/6597/7283/2177/9787/51143/9134/286053/5977/55920/157313/23332/9918/1104/84057/3837/79019/81624/84722/29893/8239/1778/157570/24137/55055/23212/79080/128866/29117/7175/26054/348654/6601/25978/55839/23310/4288/140609/7756/57132/9126/991/8780/10592/55207/998/3619/81929/150465/79998/8467/5728/81620",136
"GO:0098813","GO:0098813","nuclear chromosome segregation","111/2489","323/18860",0.343653250773994,2.60397762539073,11.3374142764403,8.67788806968023e-23,1.67126071983801e-19,1.45743305645357e-19,"51203/11065/898/22974/891/7272/29127/701/60/699/10051/11004/64151/64105/3192/1063/11130/259266/3832/56992/4085/9055/81610/1894/1062/55143/7153/332/81930/79980/990/9319/57405/1642/10615/83540/54892/51433/9928/146909/9133/10097/5347/22919/51529/6790/10744/79643/2491/147841/3796/29128/4751/10096/86/9493/3833/10459/10460/5901/11200/4342/9031/9232/5885/23636/23397/144165/10403/29945/26271/6597/7283/2177/9787/51143/9134/286053/5977/55920/23332/9918/1104/84057/3837/84722/29893/1778/24137/55055/23212/128866/29117/7175/348654/6601/25978/23310/7756/57132/9126/991/10592/998/3619/81929/150465/79998/8467/5728/81620",111
"GO:0000819","GO:0000819","sister chromatid segregation","90/2489","233/18860",0.386266094420601,2.92686964273706,11.5396599739237,1.10587971536014e-22,1.67126071983801e-19,1.45743305645357e-19,"51203/11065/22974/891/7272/29127/701/60/699/10051/11004/64151/64105/3192/1063/11130/3832/56992/4085/9055/1062/55143/7153/332/81930/990/9319/57405/10615/83540/54892/51433/9928/146909/5347/22919/51529/79643/2491/147841/3796/29128/4751/86/9493/3833/10459/10460/5901/11200/4342/9031/5885/23636/23397/144165/10403/29945/26271/6597/7283/9787/51143/286053/5977/23332/9918/1104/3837/84722/24137/55055/23212/128866/29117/7175/348654/6601/25978/23310/7756/57132/9126/991/10592/3619/81929/79998/8467/81620",90
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","79/2489","192/18860",0.411458333333333,3.11775980982992,11.5003906976999,4.32483372764486e-22,5.22872397672263e-19,4.5597404859043e-19,"51203/11065/22974/891/7272/29127/701/699/10051/11004/64151/64105/3192/1063/11130/3832/56992/4085/9055/1062/55143/332/81930/9319/57405/10615/83540/54892/51433/9928/146909/5347/22919/51529/79643/2491/147841/3796/29128/4751/9493/3833/10459/5901/11200/9031/5885/23636/23397/144165/10403/26271/7283/9787/51143/286053/23332/9918/1104/3837/84722/24137/55055/23212/128866/7175/348654/25978/23310/7756/57132/9126/991/10592/3619/81929/79998/8467/81620",79
"GO:0033044","GO:0033044","regulation of chromosome organization","87/2489","244/18860",0.35655737704918,2.70175658141725,10.4323786390572,2.62105264107977e-19,2.64071053588787e-16,2.30284765377675e-16,"11065/891/7272/701/60/699/10051/8550/64151/3192/1063/11130/4085/1062/6950/55143/332/7874/2237/51377/990/9319/3181/57405/79677/4137/83540/54892/51433/142/5347/51529/3183/147841/4751/7203/3320/86/10576/10459/10460/5073/4342/9031/6421/5885/545/23397/10403/29945/908/4931/26271/6597/10575/29844/55226/9787/51143/286053/5977/10574/170506/23381/9918/1736/5514/55055/80119/29117/7175/26054/348654/6601/23310/140609/7756/991/10592/3184/5609/93973/7528/4000/3619/11284/8467",87
"GO:0140014","GO:0140014","mitotic nuclear division","94/2489","281/18860",0.334519572953737,2.53476864038066,10.1069259471348,1.36414099690972e-18,1.17803318947418e-15,1.02731099436449e-15,"1908/54443/51203/11065/22974/891/7272/29127/701/699/10051/11004/64151/64105/3192/5902/1063/8556/11130/3832/56992/4085/9055/1062/55143/332/1111/81930/9319/57405/10615/83540/54892/51433/9928/146909/5347/22919/51529/6790/79643/2491/8815/147841/3796/29128/4751/9493/3833/9088/10459/1613/5901/11200/9031/55968/5885/23636/23397/144165/10403/26271/7283/9787/51143/286053/157313/23332/9918/1104/3837/84722/24137/55055/23212/79080/128866/10361/7175/348654/25978/23310/4288/7756/57132/9126/991/10592/998/3619/81929/79998/8467/81620",94
"GO:0032543","GO:0032543","mitochondrial translation","56/2489","131/18860",0.427480916030534,3.23916837136837,10.0276525669286,5.81881516611547e-17,3.97152476116015e-14,3.46339227789649e-14,"90480/57129/64951/64981/9801/64960/56945/28998/85476/51649/64983/64928/10102/29093/6183/64432/65993/29074/55699/51253/51081/54948/28957/54148/65005/29088/63931/26589/7818/6472/11222/51258/118487/28977/51642/64968/51373/54460/65080/51021/51650/64979/55173/9617/22868/60488/64969/51264/708/54534/26024/122704/57038/55157/4528/7284",56
"GO:0000280","GO:0000280","nuclear division","126/2489","453/18860",0.278145695364238,2.10760458600624,9.30414595129257,5.9129400910573e-17,3.97152476116015e-14,3.46339227789649e-14,"1908/54443/51203/11065/898/22974/891/7272/1164/29127/701/699/10051/11004/8438/3297/5888/64151/64105/3192/5902/1063/8556/11130/259266/3832/56992/4085/9055/50511/1062/10635/55143/7153/80010/332/1111/81930/9319/57405/1642/10615/83540/54892/63979/51433/9928/146909/9133/10097/5347/22919/51529/6790/811/10744/79643/2491/8815/147841/3796/29128/4751/10096/9493/3833/9088/10459/1613/5901/2175/11200/25788/4342/9031/9232/55968/5885/23636/23397/144165/10403/26271/84930/7283/2177/9787/51143/9134/286053/157313/23332/9918/1104/84057/3837/84722/29893/5810/24137/55055/23212/79080/128866/10361/7175/5719/348654/25978/146956/23310/4288/7756/57132/9126/991/10592/998/3619/81929/80198/79998/8467/5728/81620/4488",126
"GO:0051052","GO:0051052","regulation of DNA metabolic process","132/2489","497/18860",0.265593561368209,2.01249279526092,8.91933535445243,6.12646681231627e-16,3.70344918804518e-13,3.22961534695578e-13,"3838/60/8655/23560/3297/5888/8550/3192/3060/4171/4172/64061/890/4173/6950/4176/7336/10635/580/8914/7874/1111/58525/51377/990/54108/3181/79677/8317/63979/5111/142/56943/1660/63922/10097/5347/641/118460/4175/5984/3183/4436/4751/7203/83443/3320/86/51010/10576/10459/54962/5073/993/83933/79733/6839/1602/7398/7027/11124/545/27000/7422/908/4931/26271/6597/6502/5985/10575/57695/29844/55226/64710/10721/6874/286053/5977/10574/1054/5591/9643/7037/170506/6282/23381/1387/1763/6944/2271/8505/8451/8089/91607/2956/1736/157570/50507/5514/80119/708/11177/6877/165918/10361/29117/2521/27101/150275/151987/7913/6601/140609/6778/9126/7335/3184/5609/10269/93973/144455/7528/4000/64110/11284/4174/55183/23244/8467/5429/81620",132
"GO:0006261","GO:0006261","DNA-templated DNA replication","63/2489","171/18860",0.368421052631579,2.79165168848195,9.17683198980873,3.88766245265692e-15,2.13644722966464e-12,1.86310177635462e-12,"898/8655/5888/9837/5813/4171/4172/4173/4176/11169/580/8914/58525/2237/990/54108/55388/5558/8317/8099/5111/142/641/9156/4175/5984/54962/6240/29980/6596/7083/79733/1602/56655/545/23649/26271/5985/64710/10721/5422/9134/55159/5591/25842/1763/91607/222229/11177/5557/84515/348654/146956/5428/10269/144455/5965/11284/4174/80198/10293/25939/81620",63
"GO:0140053","GO:0140053","mitochondrial gene expression","62/2489","170/18860",0.364705882352941,2.76350057901827,9.00595123230327,1.10890984148907e-14,5.49864625667642e-12,4.7951278487546e-12,"90480/57129/64951/64981/9801/3028/87178/64960/56945/28998/85476/51649/64983/64928/10102/29093/6183/64432/65993/29074/55699/51253/51081/54948/28957/54148/65005/29088/63931/26589/7818/6472/11222/51258/118487/28977/51642/64968/51373/54460/65080/51021/64216/51650/64979/55173/9617/22868/60488/64969/51264/708/54534/26024/122704/7019/57038/55157/4528/7284/10922/84275",62
"GO:1905818","GO:1905818","regulation of chromosome separation","38/2489","76/18860",0.5,3.78867014865408,9.49826054498881,1.18250457132826e-14,5.49864625667642e-12,4.7951278487546e-12,"11065/891/7272/701/699/10051/64151/1063/11130/4085/55143/332/9319/57405/83540/54892/51433/5347/51529/147841/10459/4342/5885/23397/10403/26271/9787/51143/286053/9918/55055/7175/348654/23310/7756/991/10592/3619",38
"GO:0007052","GO:0007052","mitotic spindle organization","53/2489","137/18860",0.386861313868613,2.93137982304622,8.84656003917682,5.82500879464269e-14,2.51515558311536e-11,2.19335669500531e-11,"22974/891/7272/29127/10769/3192/5310/3832/56992/9055/1062/55143/3925/332/57405/83540/5347/6790/79643/3796/29128/4751/9793/9493/3833/10460/5901/6905/1213/11200/5116/23636/144165/10403/2009/7283/9787/23332/1104/7415/3837/84722/1778/24137/128866/7175/25978/7756/57132/9126/991/3619/79998",53
"GO:0051983","GO:0051983","regulation of chromosome segregation","52/2489","134/18860",0.388059701492537,2.94046041388078,8.78959473498442,8.67571310780073e-14,3.4963123824437e-11,3.04898043816604e-11,"11065/891/7272/701/60/699/10051/11004/64151/3192/1063/11130/4085/1062/55143/332/990/9319/57405/79677/83540/54892/51433/5347/51529/147841/86/10459/10460/4342/5885/23397/10403/29945/26271/6597/9787/51143/286053/5977/55920/9918/55055/29117/7175/348654/6601/23310/7756/991/10592/3619",52
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","60/2489","170/18860",0.352941176470588,2.67435539904994,8.55069924489728,1.59686005992086e-13,6.03313691388851e-11,5.26123367110768e-11,"51203/22974/891/7272/29127/10769/3192/5310/3832/56992/4085/9055/1062/55143/3925/332/57405/83540/5347/22919/6790/79643/3796/29128/4751/9793/9493/3833/10460/5901/6905/1213/11200/5116/1058/55968/23636/144165/10403/2009/7283/9787/23332/1104/7415/3837/5080/84722/1778/24137/128866/7175/6993/25978/7756/57132/9126/991/3619/79998",60
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","43/2489","100/18860",0.43,3.25825632784251,8.82858277296091,1.83842709020474e-13,6.1740509779376e-11,5.3841186361084e-11,"891/1340/7386/9377/1347/4700/1351/4694/4712/4718/1346/1345/4706/4702/23788/1349/4708/4709/4704/27089/4710/7388/4725/4719/1329/4715/7381/1738/4722/4707/126328/6391/9167/4729/4720/4728/4695/4726/27069/1327/1350/55967/51142",43
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","43/2489","100/18860",0.43,3.25825632784251,8.82858277296091,1.83842709020474e-13,6.1740509779376e-11,5.3841186361084e-11,"891/1340/7386/9377/1347/4700/1351/4694/4712/4718/1346/1345/4706/4702/23788/1349/4708/4709/4704/27089/4710/7388/4725/4719/1329/4715/7381/1738/4722/4707/126328/6391/9167/4729/4720/4728/4695/4726/27069/1327/1350/55967/51142",43
"GO:0007051","GO:0007051","spindle organization","68/2489","209/18860",0.325358851674641,2.46535473788017,8.3061358363804,3.5520336160222e-13,1.07384187908829e-10,9.36450329628515e-11,"22974/891/7272/29127/203068/10769/3192/259266/5310/3832/56992/9055/1062/55143/3925/29901/332/57405/1642/10615/83540/9133/5347/22919/6790/79643/3796/29128/4751/9793/9493/3833/10460/5901/6905/1213/11200/4342/7430/5116/23636/144165/10286/10403/26271/2009/7283/9787/23332/1104/7415/3837/84722/1778/24137/128866/7175/26054/25978/140609/7756/57132/9126/991/3619/79998/4627/5728",68
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","118/2489","461/18860",0.255965292841649,1.93953612816131,7.96344549763554,3.55282672982065e-13,1.07384187908829e-10,9.36450329628515e-11,"54443/11065/1869/898/891/7272/1164/701/60/699/6241/23560/2029/10769/9833/51270/63967/1063/8556/11130/5310/890/4085/2146/1033/1062/55143/580/332/1111/596/990/9319/1871/57405/51514/1642/8317/83540/5243/51433/9928/9133/5933/5347/641/8453/51529/6790/147841/1019/7319/86/9088/10459/10460/2932/9978/6240/11200/29980/993/1029/5537/7027/5885/1981/545/79858/801/10403/29945/1032/26271/6597/6502/84930/900/805/57695/9787/3398/51143/9134/286053/1031/5977/55920/55159/5591/23332/1104/51499/8454/8451/51692/91607/899/5311/5721/5515/55055/81853/128866/10361/29117/7175/348654/6601/7756/991/301/144455/3624/3619/5962/5728/1022",118
"GO:0051304","GO:0051304","chromosome separation","38/2489","83/18860",0.457831325301205,3.46914375057482,8.7903565715677,4.19552902349143e-13,1.20771299747646e-10,1.05319345111003e-10,"11065/891/7272/701/699/10051/64151/1063/11130/4085/55143/332/9319/57405/83540/54892/51433/5347/51529/147841/10459/4342/5885/23397/10403/26271/9787/51143/286053/9918/55055/7175/348654/23310/7756/991/10592/3619",38
"GO:0006403","GO:0006403","RNA localization","67/2489","208/18860",0.322115384615385,2.44077788422907,8.14704606478343,8.95753996125364e-13,2.4612876848081e-10,2.14638086727073e-10,"3800/3297/3192/55505/29107/9775/11260/6950/87178/3181/3182/4686/56943/1660/8570/29074/4076/55746/7203/9793/10576/5901/5073/7884/9631/23636/545/9972/9688/6396/10762/908/6741/79902/10575/9887/4904/57122/7514/10574/170506/23381/8087/22916/11052/23165/3837/80145/6780/54888/23511/84321/1736/7048/91746/7175/55651/129401/54847/3267/4116/7528/55110/81929/84248/57510/1069",67
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","40/2489","95/18860",0.421052631578947,3.1904590725508,8.34558597680412,2.88863207061358e-12,7.48461120545678e-10,6.52700063853164e-10,"11065/891/7272/701/60/699/1063/11130/4085/1062/55143/332/990/9319/57405/83540/51433/5347/51529/147841/86/10459/4342/5885/10403/29945/26271/6597/9787/51143/286053/5977/55055/29117/7175/348654/6601/7756/991/3619",40
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","41/2489","99/18860",0.414141414141414,3.13809042615792,8.31667726609139,2.97155779869252e-12,7.48461120545678e-10,6.52700063853164e-10,"11065/891/7272/701/60/699/1063/11130/4085/1062/55143/332/990/9319/57405/83540/51433/5347/51529/147841/86/10459/10460/4342/5885/10403/29945/26271/6597/9787/51143/286053/5977/55055/29117/7175/348654/6601/7756/991/3619",41
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","39/2489","92/18860",0.423913043478261,3.21213338690237,8.29335777152369,4.17422944425535e-12,1.00559572240907e-09,8.76935854394603e-10,"11065/891/7272/701/60/699/1063/11130/4085/1062/55143/332/990/9319/57405/83540/51433/5347/51529/147841/86/10459/5885/10403/29945/26271/6597/9787/51143/286053/5977/55055/29117/7175/348654/6601/7756/991/3619",39
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","40/2489","96/18860",0.416666666666667,3.1572251238784,8.26233021794863,4.32514289208201e-12,1.00559572240907e-09,8.76935854394603e-10,"11065/891/7272/701/60/699/1063/11130/4085/1062/55143/332/990/9319/57405/83540/51433/5347/51529/147841/86/10459/10460/5885/10403/29945/26271/6597/9787/51143/286053/5977/55055/29117/7175/348654/6601/7756/991/3619",40
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","116/2489","468/18860",0.247863247863248,1.87814417625587,7.5008148798041,5.52762979656168e-12,1.23757489334131e-09,1.07923469868152e-09,"54443/8626/11065/1869/898/891/7272/701/60/699/6241/23560/5888/51270/63967/1063/8556/11130/5310/4085/81610/2146/1062/55143/580/8914/332/1111/596/152110/990/9319/84444/57405/51514/1642/8317/83540/51433/9928/5781/5933/5347/641/51529/6790/147841/4436/1019/323/86/9088/10459/54962/6240/11200/29980/993/4342/1029/7027/5885/1981/545/79858/261726/10403/29945/1032/26271/6597/2177/9787/3398/51143/9134/286053/1031/5977/55920/55159/5591/1763/51499/79968/8451/51692/91607/5810/54888/5311/5721/5515/5514/55055/81853/4291/165918/10361/29117/25896/7175/348654/6601/146956/7756/991/301/144455/3624/3619/80198/5962/5728/81620/1022",116
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","30/2489","61/18860",0.491803278688525,3.72656080195483,8.31662088867352,1.25746557374924e-11,2.71477835475505e-09,2.36743894486323e-09,"11065/891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/51433/5347/51529/147841/10459/5885/10403/26271/9787/51143/286053/55055/7175/348654/7756/991/3619",30
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","42/2489","107/18860",0.392523364485981,2.9742831073546,7.98546326015843,1.33199861314374e-11,2.7765281436048e-09,2.42128822309396e-09,"11065/891/7272/701/60/699/3192/1063/11130/4085/1062/55143/332/990/9319/57405/83540/51433/5347/51529/147841/86/10459/10460/4342/5885/10403/29945/26271/6597/9787/51143/286053/5977/55055/29117/7175/348654/6601/7756/991/3619",42
"GO:0006275","GO:0006275","regulation of DNA replication","45/2489","120/18860",0.375,2.84150261149056,7.89064206054529,1.59308613023519e-11,3.2100685524239e-09,2.79935976849748e-09,"8655/23560/3060/4171/4172/64061/890/4173/4176/8914/58525/51377/990/54108/8317/5111/1660/4175/86/54962/993/79733/1602/11124/545/26271/57695/29844/64710/6282/1763/91607/157570/11177/10361/27101/9126/10269/93973/144455/7528/4174/23244/8467/81620",45
"GO:0051310","GO:0051310","metaphase chromosome alignment","41/2489","104/18860",0.394230769230769,2.9872206941311,7.9236782648619,1.9759741702138e-11,3.8531496319169e-09,3.36016252782027e-09,"891/7272/29127/11004/3192/1063/11130/81610/1894/1062/55143/332/81930/79980/57405/10615/83540/9928/22919/79643/147841/4751/3833/23636/10403/55920/3837/84722/1778/55055/23212/128866/25978/7756/57132/998/3619/81929/150465/79998/81620",41
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","92/2489","348/18860",0.264367816091954,2.00320490618491,7.36523779161686,2.19142048989845e-11,4.1397302691988e-09,3.6100769123064e-09,"1153/6637/10946/4857/3167/11030/3192/6732/6638/10181/6635/9775/3312/29896/59286/11171/25804/7536/6634/3181/6636/79833/9588/1207/4686/6633/7307/6632/1660/26528/55660/4670/3185/10921/10285/8570/10262/3183/3191/83443/10521/11017/3190/26986/1665/6421/11168/22827/51690/10286/8559/27258/10199/55599/9129/51645/51163/10992/54502/22916/84991/10713/283375/27336/10492/79622/9343/8449/91746/79171/708/11100/6627/57819/9092/11157/221092/10907/79005/9416/23020/4116/9716/6625/55110/84844/51634/4691/8896/6626/11218/23658",92
"GO:0008380","GO:0008380","RNA splicing","118/2489","490/18860",0.240816326530612,1.82474725527013,7.21271073280849,2.68620389856779e-11,4.92063714146736e-09,4.29107149091786e-09,"1153/6637/10946/1195/4857/3167/11030/3192/6732/6638/10181/6635/9775/3312/81669/29896/59286/11171/25804/7536/57716/6634/23435/3181/6636/79833/9588/1207/4686/6633/7307/6632/56943/1660/26528/55660/4670/3185/10921/10285/8570/10262/3183/3191/83443/10521/11017/3190/116461/26986/79042/4841/57396/389677/5295/1665/6421/11168/22827/51690/10286/8559/27258/79026/10199/55599/9129/4904/51645/64121/51163/10992/54502/23091/55131/22916/84991/51729/80145/10713/283375/5511/27336/10492/79622/84321/9343/8449/91746/79171/708/11100/6627/57819/2521/9092/11157/221092/151987/10907/25940/79005/9416/2926/23020/4116/9716/6625/55110/10922/8458/84844/51634/4691/8896/6626/11218/23658",118
"GO:0000723","GO:0000723","telomere maintenance","55/2489","166/18860",0.331325301204819,2.51056455633704,7.62213066269382,2.83211538193029e-11,4.98240540636018e-09,4.34493688129411e-09,"6672/898/5888/8550/3192/55505/2547/9401/6950/7874/2237/51377/3181/79677/5111/142/641/3104/9156/3183/4751/7203/3320/86/10576/10459/5073/6119/545/908/4931/10575/29844/55226/9134/286053/10574/5591/170506/23381/85456/1763/1736/5514/80119/55651/140609/3184/5609/93973/7528/4000/11284/55183/80198",55
"GO:0006119","GO:0006119","oxidative phosphorylation","51/2489","148/18860",0.344594594594595,2.61111050785619,7.67238270684122,2.88476739822343e-11,4.98240540636018e-09,4.34493688129411e-09,"891/1340/54539/7386/9377/1347/4700/1351/4694/538/4712/4718/1346/1345/4706/4702/23788/1349/4436/4708/4709/4704/27089/4710/7388/4725/4719/1329/6472/4715/7381/1738/4722/4707/126328/6391/9167/4729/205327/7415/4720/4728/51079/4695/4726/27069/1327/1350/84275/55967/51142",51
"GO:0019646","GO:0019646","aerobic electron transport chain","38/2489","93/18860",0.408602150537634,3.09611754083559,7.90121453270216,2.99768657254479e-11,5.03361536973145e-09,4.38959484073225e-09,"1340/7386/9377/1347/4700/1351/4694/4712/4718/1346/1345/4706/4702/1349/4708/4709/4704/27089/4710/7388/4725/4719/1329/4715/7381/1738/4722/4707/126328/6391/9167/4729/4720/4728/4695/4726/1327/1350",38
"GO:0022904","GO:0022904","respiratory electron transport chain","43/2489","115/18860",0.373913043478261,2.83326637203696,7.68893065798265,4.99856509218565e-11,8.16657458980062e-09,7.12171094784232e-09,"891/1340/7386/9377/1347/4700/1351/4694/4712/4718/1346/1345/4706/4702/23788/1349/4708/4709/4704/27089/4710/7388/4725/4719/1329/4715/7381/1738/4722/4707/126328/6391/9167/4729/4720/4728/4695/4726/27069/1327/1350/55967/51142",43
"GO:0050000","GO:0050000","chromosome localization","45/2489","124/18860",0.362903225806452,2.74984123692635,7.62263676091953,5.78522399254005e-11,9.06376703567227e-09,7.90411306684894e-09,"891/7272/29127/11004/3192/1063/11130/81610/1894/1062/55143/332/81930/79980/57405/10615/83540/9928/10097/22919/79643/147841/4751/10096/3833/23636/10403/9787/55920/3837/84722/1778/55055/23212/128866/25978/7756/57132/4000/998/3619/81929/150465/79998/81620",45
"GO:0051306","GO:0051306","mitotic sister chromatid separation","30/2489","64/18860",0.46875,3.5518782643632,7.97354401518204,5.84759163591759e-11,9.06376703567227e-09,7.90411306684894e-09,"11065/891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/51433/5347/51529/147841/10459/5885/10403/26271/9787/51143/286053/55055/7175/348654/7756/991/3619",30
"GO:0006913","GO:0006913","nucleocytoplasmic transport","91/2489","350/18860",0.26,1.97010847730012,7.14307626142247,7.41763006353834e-11,1.09364813985584e-08,9.53722499568678e-09,"6672/3838/2737/5902/90865/5310/1072/1994/1434/29107/9775/7295/5587/1894/11260/580/3692/127933/23435/3181/1871/347/4686/56943/1660/5781/811/55746/3320/7529/5901/2932/1029/9631/5295/202151/23636/144165/9972/9688/23649/6396/55027/10762/10628/10541/3840/6741/79902/2810/9887/9538/57122/503542/7514/51068/7545/7494/3313/23381/22916/11052/23165/3837/80145/55122/3839/55705/54888/23511/84321/91746/7341/5514/146059/3621/7175/55341/103/129401/23214/11331/3267/51715/4116/55110/4000/81929/60468/84248/57510",91
"GO:0051169","GO:0051169","nuclear transport","91/2489","350/18860",0.26,1.97010847730012,7.14307626142247,7.41763006353834e-11,1.09364813985584e-08,9.53722499568678e-09,"6672/3838/2737/5902/90865/5310/1072/1994/1434/29107/9775/7295/5587/1894/11260/580/3692/127933/23435/3181/1871/347/4686/56943/1660/5781/811/55746/3320/7529/5901/2932/1029/9631/5295/202151/23636/144165/9972/9688/23649/6396/55027/10762/10628/10541/3840/6741/79902/2810/9887/9538/57122/503542/7514/51068/7545/7494/3313/23381/22916/11052/23165/3837/80145/55122/3839/55705/54888/23511/84321/91746/7341/5514/146059/3621/7175/55341/103/129401/23214/11331/3267/51715/4116/55110/4000/81929/60468/84248/57510",91
"GO:0022900","GO:0022900","electron transport chain","45/2489","125/18860",0.36,2.72784250703094,7.55729692773267,7.89421792765625e-11,1.13620350887338e-08,9.90833167461216e-09,"891/1340/7386/9377/1347/4700/1351/4694/4712/4718/1346/1345/4706/4702/23788/1349/4708/4709/4704/27089/4710/7388/4725/4719/1329/4715/7381/1738/4722/4707/126328/6391/9167/4729/4720/4728/4695/4726/10954/27069/1327/1350/2230/55967/51142",45
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","117/2489","496/18860",0.235887096774194,1.78739680400213,6.92923065735637,1.29864233038942e-10,1.82564950865211e-08,1.59206873698659e-08,"6637/10946/23560/28985/6732/10181/6635/55505/9775/11171/25804/5393/54512/7536/3692/6634/6636/79833/1207/4686/6633/6632/1660/118460/10775/10262/10969/23246/54700/83443/10521/3320/51010/5901/55759/2971/55003/1029/8568/23029/6839/55794/11168/22827/51018/545/55646/55027/8559/29081/117246/23160/4931/64216/10248/55226/10199/9129/25926/7514/10480/51068/5591/51388/81887/10992/1975/8602/10885/51729/10713/8451/84128/27336/22868/91582/10528/404672/1736/91746/5036/705/708/6627/23212/57819/9816/9092/11157/55341/51441/10557/51491/22894/103/55651/8663/3669/10907/54555/6169/10436/9416/1968/55035/85865/8780/23020/9188/30836/10799/84844/90121/29889/51634/9221/11218",117
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","89/2489","344/18860",0.258720930232558,1.96041653040821,7.00970007163423,1.5806458660334e-10,2.12333428003821e-08,1.85166654902814e-08,"1153/6637/10946/4857/3167/11030/3192/6732/6638/10181/6635/9775/3312/29896/59286/11171/25804/7536/6634/3181/6636/79833/9588/1207/4686/6633/7307/6632/1660/26528/55660/4670/3185/10921/10262/3183/3191/83443/10521/11017/3190/26986/1665/6421/11168/22827/51690/10286/8559/27258/55599/9129/51645/51163/10992/54502/22916/84991/10713/283375/27336/10492/79622/9343/8449/91746/79171/708/11100/6627/57819/9092/11157/221092/10907/79005/9416/23020/4116/9716/6625/55110/84844/51634/4691/8896/6626/11218/23658",89
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","89/2489","344/18860",0.258720930232558,1.96041653040821,7.00970007163423,1.5806458660334e-10,2.12333428003821e-08,1.85166654902814e-08,"1153/6637/10946/4857/3167/11030/3192/6732/6638/10181/6635/9775/3312/29896/59286/11171/25804/7536/6634/3181/6636/79833/9588/1207/4686/6633/7307/6632/1660/26528/55660/4670/3185/10921/10262/3183/3191/83443/10521/11017/3190/26986/1665/6421/11168/22827/51690/10286/8559/27258/55599/9129/51645/51163/10992/54502/22916/84991/10713/283375/27336/10492/79622/9343/8449/91746/79171/708/11100/6627/57819/9092/11157/221092/10907/79005/9416/23020/4116/9716/6625/55110/84844/51634/4691/8896/6626/11218/23658",89
"GO:1902600","GO:1902600","proton transmembrane transport","59/2489","192/18860",0.307291666666667,2.32845352886032,7.21410168174777,1.70254949395658e-10,2.23737210673207e-08,1.95111392808571e-08,"10159/9481/292/1340/7386/10063/9377/1347/4700/1351/4694/4712/4718/1346/525/4702/533/1349/84286/527/4708/4709/79751/4704/4710/6572/7388/4725/4719/1329/4715/4722/8992/4707/9167/4729/478/9296/55244/245973/6566/4720/4728/10165/4695/4726/27069/23530/523/1327/476/56848/11331/477/534/3916/55967/9114/537",59
