"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05208","Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","71/1405","227/9377",0.312775330396476,2.08746923354288,6.96278005871512,2.6866757098283e-10,8.40196767437215e-09,6.78739126693466e-09,"2946/1544/292/2944/1340/54539/7386/5587/9377/1347/6647/4700/1351/4694/4259/4712/4718/1346/1345/4706/5781/4702/1349/4708/4709/293/4704/27089/4710/7388/5295/4725/3162/4719/1329/4715/7381/5770/7422/2953/4722/4707/126328/873/6391/3845/9167/7416/4729/8503/9817/2353/4720/50507/119391/10327/4728/51079/4695/4726/4893/1327/1572/1350/3091/7417/5609/4257/55967/5728/5604",71
"hsa05415","Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","61/1405","205/9377",0.297560975609756,1.98592830483465,5.99174826530167,3.97529825668846e-08,1.11322271293888e-06,8.99298642031406e-07,"5166/292/3667/5160/1340/185/54539/7386/9377/1347/4700/1351/4694/2597/4712/4718/1346/1345/142/4706/4702/1349/6513/4708/4709/293/4704/2932/27089/4710/7388/5295/4725/4719/1329/4715/7381/4722/4707/126328/6391/9167/7416/4729/8503/488/7048/4720/4728/51079/4695/4726/5500/1327/1350/1277/1278/7417/55967/5728/2673",61
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","39/1405","108/9377",0.361111111111111,2.41006326611309,6.18724554938428,4.20694629889692e-08,1.11322271293888e-06,8.99298642031406e-07,"3838/1434/29107/9775/11260/4686/6613/10921/55746/5901/9631/23636/55161/9972/9688/6396/10762/3840/79902/57122/7514/51068/22916/23165/3837/80145/3839/55705/23511/84321/7341/6612/7175/129401/23214/4116/55110/81929/57510",39
"hsa03030","Genetic Information Processing","Replication and repair","hsa03030","DNA replication","18/1405","36/9377",0.5,3.33701067615658,5.89764431937683,7.94464082921069e-07,1.95211174660606e-05,1.57698133752754e-05,"4171/4172/4173/4176/2237/10535/5558/5111/4175/5984/6119/56655/23649/5985/5422/1763/5557/4174",18
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","51/1405","174/9377",0.293103448275862,1.95617867222972,5.34456399984173,8.55152442730159e-07,1.9611496019945e-05,1.58428242021587e-05,"25956/56681/3312/1388/596/5034/578/6185/811/51726/3320/9978/7184/10134/79139/55968/10960/5887/6396/11253/200185/3301/81567/9871/23480/1965/58505/84061/7494/7415/8454/1603/2923/10970/80267/79748/6748/7322/1649/10961/9601/3703/823/6184/10130/5609/23471/10952/10802/29979/10294",51
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","65/1405","248/9377",0.262096774193548,1.74923946734014,5.01993622498998,2.3352699256299e-06,5.02083034010429e-05,4.05599513398878e-05,"5288/10376/84790/3800/83657/4671/7280/60/8655/203068/1434/841/7295/10092/596/10109/5608/2597/5216/9267/578/10097/79443/10381/10096/3320/7278/7846/7184/6281/382/347733/51626/5217/127829/375/64746/79026/3840/51143/3799/5063/1783/10094/836/57381/3839/1778/2353/84617/10552/8772/6993/7132/3831/3654/83658/8767/58498/5609/55207/998/5898/23643/5604",65
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","52/1405","194/9377",0.268041237113402,1.78891293979528,4.66123467686853,1.20079606019901e-05,0.000242984614534388,0.000196291120676495,"10376/84790/3800/4629/83657/7802/7170/55614/7280/60/8655/11004/23303/203068/10112/3832/59/56992/1062/81930/4621/55605/9928/146909/10381/3796/63971/7278/9493/3833/7846/347733/51626/7283/51143/3799/1783/7135/829/57576/830/1778/84617/24137/4645/6993/3831/83658/58498/1767/832/4627",52
"hsa05110","Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","20/1405","51/9377",0.392156862745098,2.61726327541693,4.86162463140492,2.07367849546184e-05,0.00039630300135493,0.000320146855439723,"60/11014/525/533/527/2778/375/9414/8992/23480/9296/245973/10945/523/109/9601/534/9114/10952/537",20
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","39/1405","138/9377",0.282608695652174,1.88613646913198,4.40241507046788,4.06924354086897e-05,0.00073674725160996,0.000595169138387483,"898/891/699/4085/7533/7534/51433/9133/5347/5241/51529/6790/10744/10971/7532/9088/10459/7529/9978/4342/9232/113/801/29945/26271/805/3708/64506/9134/8454/5515/5500/109/22849/9126/991/5525/91860/5604",39
"hsa05017","Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","40/1405","144/9377",0.277777777777778,1.85389482008699,4.33488443272048,5.004072211123e-05,0.000860700420313156,0.000695302665124459,"5718/5690/5701/292/10213/5714/2259/5686/5688/5683/293/5710/5708/5685/5707/5689/5695/5687/5295/5691/5700/5693/7222/9519/3708/5684/7416/8503/7494/488/10528/5692/5719/4976/9861/7436/5706/7417/5709/4800",40
"hsa04714","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","57/1405","235/9377",0.242553191489362,1.6188051790717,4.03302188748634,0.000105243182584222,0.00172398356233201,0.00139269173946038,"60/1340/54539/7386/10063/9377/1347/6009/4700/1351/4694/4712/4718/1346/1345/4706/4702/1349/4708/4709/86/4704/27089/4710/7388/4725/4719/2778/1329/113/4715/7381/4722/6597/9658/4707/126328/6391/3845/9167/152831/7248/4729/4720/155/4728/51422/51079/4695/4726/4893/1327/90639/109/6601/1350/55967",57
"hsa03040","Genetic Information Processing","Transcription","hsa03040","Spliceosome","58/1405","243/9377",0.238683127572016,1.59297628985253,3.93163577396567,0.000146784294263779,0.00229517260121545,0.00185411740122668,"6637/10946/3192/6635/9775/3312/29896/25804/7536/6634/6636/4686/6633/7307/6632/55660/4670/10285/10262/3183/83443/11017/3190/1665/22827/51690/10286/8559/27258/9129/51645/10992/22916/84991/51729/80145/10713/84321/9343/8449/6627/57819/2521/9092/11157/5093/10907/9416/23020/4116/9716/6625/55110/84844/51634/8896/6626/23658",58
"hsa00900","Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","11/1405","23/9377",0.478260869565217,3.19192325545412,4.41828672524218,0.000194410706418874,0.00290770795687359,0.00234894400432873,"2224/116150/23590/3422/39/3157/51449/23463/10269/4598/2342",11
"hsa03420","Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","21/1405","63/9377",0.333333333333333,2.22467378410439,4.0943587735703,0.000207118743675685,0.00296870199268482,0.00239821703203425,"5440/5437/1642/246721/5111/5436/5439/5984/9978/6119/5435/5438/56655/5887/5985/5433/5431/8451/404672/1069/1022",21
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","40/1405","157/9377",0.254777070063694,1.70038760568488,3.71523367184216,0.000376937300640914,0.00518665725681898,0.00418995567870322,"1869/898/891/292/890/1111/6009/1871/5608/776/9133/5933/1019/293/11200/993/1029/5295/286826/545/801/2308/805/3708/9261/9134/3845/7416/7248/8503/5810/7048/5500/4893/1875/823/7417/5728/91860/5604",40
"hsa00480","Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","19/1405","59/9377",0.322033898305085,2.14926111345678,3.71746322807649,0.000667878836282506,0.00883655075696855,0.00713846205581303,"2946/79017/6241/2944/4259/9588/6240/2877/3418/2953/2880/4953/26873/119391/51060/2876/6611/4257/494143",19
"hsa04260","Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","25/1405","87/9377",0.28735632183908,1.9178222276762,3.61055243840476,0.000717074051749179,0.0091360545852488,0.00738041129285704,"7170/1340/7386/9377/1347/1351/775/776/1346/1345/1349/27089/483/7388/1329/7381/9167/478/488/6543/6547/1327/476/1350/477",25
"hsa04120","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","36/1405","142/9377",0.253521126760563,1.69200541326249,3.48817713142217,0.000797825252042806,0.0098018530965259,0.00791826565937221,"90293/11065/7332/83737/23327/1642/51433/79444/8453/51529/140739/10054/7319/9978/10075/4214/7317/29945/326/9021/6502/9616/7316/9039/9817/389898/8454/8451/9886/55236/64750/7322/65264/7311/7328/991",36
"hsa03015","Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","28/1405","103/9377",0.271844660194175,1.81429706664824,3.48843996536346,0.000934413447288474,0.0107860126102553,0.00871330272064686,"29107/9775/23435/4686/26528/4440/10921/1479/26986/1478/1477/9887/5042/23381/22916/11052/28227/51692/5515/53918/2521/5500/5525/10914/4116/8761/55110/11051",28
"hsa00510","Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","18/1405","56/9377",0.321428571428571,2.1452211489578,3.60840632630176,0.000940640634615287,0.0107860126102553,0.00871330272064686,"2683/10195/6185/79053/79087/57171/8813/11253/200185/146664/58505/84061/6480/1603/22845/79868/3703/6184",18
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","14/1405","39/9377",0.358974358974359,2.3958025367278,3.66684597946601,0.00101815803838286,0.0110602255557544,0.00893482113439159,"275/10797/2618/7298/10588/501/6472/1738/471/160428/2731/25902/2653/4522",14
"hsa04723","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","37/1405","149/9377",0.248322147651007,1.65730731567508,3.39524504145437,0.00102885819123297,0.0110602255557544,0.00893482113439159,"2893/2773/54539/4700/4694/775/776/4712/4718/4706/4702/4708/4709/4704/4710/59345/4725/4719/2787/113/4715/2788/4722/3708/4707/126328/4729/222236/2782/4720/4728/51079/4695/4726/109/2790/55967",37
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","22/1405","75/9377",0.293333333333333,1.95771293001186,3.49575615821073,0.00108491326698334,0.0113093989043112,0.00913611172196497,"2946/2944/841/7153/332/596/4259/538/578/4436/1029/5295/2953/27113/8503/836/2956/119391/8772/4257/5429/598",22
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","30/1405","116/9377",0.258620689655172,1.72604000490858,3.30311671749696,0.00150163284438452,0.0151929911314199,0.0122734077683441,"275/283871/6120/5230/9563/5160/2821/7167/6888/2597/50/5631/5223/3099/2023/6472/22934/1738/3418/10873/6391/29968/39/2271/48/2731/7086/221823/2653/2805",30
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","46/1405","200/9377",0.23,1.53502491103203,3.21071644072932,0.00156841781132739,0.0154153064884749,0.012453001569637,"10376/84790/4629/4671/7280/60/5010/203068/841/10092/10109/2597/9267/5781/578/10097/9080/10381/10096/7278/55971/7846/7430/382/347733/10061/375/9871/5063/4690/10094/836/51208/2353/84617/10552/8772/147179/4645/7132/3654/9073/998/4691/10802/4627",46
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","50/1405","224/9377",0.223214285714286,1.48973690899847,3.11435725691257,0.00199066579386911,0.0190219175858604,0.0153665429702177,"1869/898/701/5902/292/890/4085/1111/1388/1871/51433/9133/2224/51529/811/10744/6513/1019/293/5901/11200/4214/1029/5295/9232/113/545/29945/9519/9134/1031/3845/7514/7416/8503/1387/3383/2874/2353/7048/6777/4893/109/7132/991/7417/5728/5604/598/4488",50
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","21/1405","75/9377",0.28,1.86872597864769,3.17094412583287,0.00263193143996408,0.0244698490634498,0.0197675647268995,"898/891/6241/841/1111/596/9133/1019/11200/1029/9540/545/900/2810/27113/9538/9134/836/51512/5728/598",21
"hsa03410","Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","14/1405","44/9377",0.318181818181818,2.12355224846328,3.13597285634793,0.00374503836261334,0.0339024525457628,0.0273875381642637,"79661/55775/2237/5111/142/5984/6996/56655/8930/5985/10038/8505/5428/11284",14
"hsa03018","Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","21/1405","78/9377",0.269230769230769,1.79685190254585,2.96667592880958,0.0043834165546314,0.0383741577147349,0.0309999315688189,"3329/25804/5393/87178/54512/118460/51010/26986/5073/2023/51690/27258/255967/5042/170506/3313/57819/11157/22894/8761/23658",21
"hsa03460","Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","16/1405","54/9377",0.296296296296296,1.97748780809279,3.02408297728749,0.00446211136217847,0.0383741577147349,0.0309999315688189,"29089/5888/2189/80010/641/55215/2175/6119/7398/545/2178/2177/51426/146956/80198/5429",16
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","48/1405","223/9377",0.2152466367713,1.43656064982526,2.76984126542634,0.00513326040431624,0.043069306806946,0.0347928304682795,"57129/64951/64981/9801/64960/56945/28998/51649/64983/64928/29093/6183/64432/65993/29074/51253/51081/54948/28957/54148/65005/29088/63931/26589/7818/11222/51258/28977/51642/64968/51373/54460/65080/51021/116832/51650/64979/55173/6156/60488/64969/51264/7311/54534/122704/6169/6132/200916",48
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","32/1405","137/9377",0.233576642335766,1.55889549835052,2.76642070258478,0.00595065856630754,0.0487387273049951,0.0393727784838394,"10376/84790/60/841/4001/332/84823/8739/596/142/578/7278/7846/9131/5295/3708/1965/27113/3845/10038/8503/836/2353/8772/1649/4893/7132/823/843/4000/5604/598",32
